target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,cs_cue,cs_target,cs_word_combo,unrelated_cs_cue
legální,727.304412504953,721.479848476898,-0.274410508938676,-0.355632068498847,24.4917802032841,33.100717750704,0.0719430328609599,0.0848315570981541,84,77,3,1,80,66,80,68,1,0,1,0.970588235294118,84,77,3,1,79,67,80,68,1,0,0.9875,0.985294117647059,80,66,-5.82456402805553,-0.0812215595601706,cs,illegal,legal,ilegální,legální,ilegálnílegální,přinést
les,621.724432440756,639.049630124655,-0.744677383453157,-0.58912368156406,26.299006727478,22.0607105204468,0.0874856672666107,0.0692386159042888,82,80,4,6,74,73,75,74,0,0,0.986666666666667,0.986486486486487,82,81,4,5,68,74,75,74,0,0,0.906666666666667,1,74,73,17.325197683899,0.155553701889098,cs,jungle,forest,prales,les,pralesles,konverzace
let,663.346054049063,649.043549300184,-0.440452826711333,-0.523264827422962,21.6097517640077,23.0967966373894,0.0736562506351936,0.0631971565699811,80,80,5,2,74,72,75,73,2,0,0.986666666666667,0.986301369863014,80,80,5,2,70,70,75,73,2,0,0.933333333333333,0.958904109589041,74,71,-14.3025047488792,-0.0828120007116285,cs,landing,flight,přistání,let,přistánílet,aktovka
letiště,598.57932466992,662.904620681655,-0.695275389415983,-0.610686609155667,17.9906461148673,30.1061774983198,0.0607030500158502,0.0850591814665665,82,65,5,3,77,58,77,58,1,0,1,1,82,65,5,3,76,57,77,58,1,0,0.987012987012987,0.982758620689655,77,58,64.3252960117354,0.084588780260316,cs,terminal,airport,terminál,letiště,terminálletiště,báječné
lev,614.561984615757,661.117102556562,-0.670780899636364,-0.517658278066076,23.7634902734713,23.1264099903141,0.112633361832159,0.0784130586808845,68,84,3,3,65,79,65,79,0,0,1,1,68,85,3,2,65,78,65,79,0,0,1,0.987341772151899,65,78,46.5551179408055,0.153122621570288,cs,dragon,lion,drak,lev,draklev,požadavek
levný,597.796574993681,665.085273981704,-0.754578484292442,-0.500415064560432,21.1384938282275,24.8926080858865,0.0445994264913993,0.0792502503276515,93,79,3,4,80,73,81,73,0,1,0.987654320987654,1,93,79,3,4,80,73,81,73,0,1,0.987654320987654,1,80,73,67.2886989880234,0.25416341973201,cs,expensive,cheap,drahý,levný,drahýlevný,knihovna
lhář,671.721459466141,662.083719506315,-0.443103782319143,-0.447249886245141,26.9827595362672,23.4490465347151,0.100218716790279,0.0781378196368956,81,85,1,2,74,82,75,82,0,0,0.986666666666667,1,81,85,1,2,74,81,75,82,0,0,0.986666666666667,0.98780487804878,74,82,-9.63773995982615,-0.00414610392599774,cs,lie,liar,lhát,lhář,lhátlhář,výstup
liberální,755.8775625187,824.573159996774,-0.122290073811887,0.02176587633254,32.1880949812414,27.2344238280948,0.128081362502986,0.0870087065819895,71,83,3,2,64,76,65,77,0,1,0.984615384615385,0.987012987012987,70,83,4,2,63,76,64,77,1,1,0.984375,0.987012987012987,64,75,68.6955974780735,0.144055950144427,cs,conservative,liberal,konzervativní,liberální,konzervativníliberální,manžel
lidé,563.100507237933,636.706338716628,-0.846465525219974,-0.729089598527041,21.42513135408,21.8770934230089,0.0405115805907088,0.0691111021971975,79,67,2,5,69,62,71,63,0,0,0.971830985915493,0.984126984126984,79,67,2,5,70,56,71,63,0,0,0.985915492957746,0.888888888888889,69,62,73.6058314786947,0.117375926692934,cs,population,people,populace,lidé,populacelidé,past
limuzína,722.165791041135,856.459032807732,-0.206802346273129,0.193540840861185,29.2210711542337,48.9122860009468,0.0865779925734567,0.135532521847062,84,75,3,2,67,61,70,64,2,2,0.957142857142857,0.953125,84,76,3,1,68,27,70,66,2,0,0.971428571428571,0.409090909090909,67,61,134.293241766598,0.400343187134314,cs,taxi,limousine,taxi,limuzína,taxilimuzína,tát
